,id,name,listing_url,bathrooms_text,room_type,bedrooms,beds
160,7227489,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/7227489,1 bath,Private room,1.0,1.0
161,7250709,Rental unit in Queensway/Alexandra · ★4.60 · 5 bedrooms · 5 beds · 3 shared baths,https://www.airbnb.com/rooms/7250709,3 shared baths,Private room,,5.0
162,7250803,Condo in Singapore · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/7250803,1 shared bath,Private room,,1.0
163,7296138,Rental unit in Singapore · ★4.96 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/7296138,1 private bath,Private room,,1.0
164,7321238,Home in Singapore · ★4.94 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/7321238,1 private bath,Private room,,1.0
165,7398096,Condo in Singapore · ★4.23 · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/7398096,1 bath,Private room,,1.0
166,7441844,Condo in Singapore · ★4.60 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/7441844,1 private bath,Private room,1.0,1.0
167,7466596,Loft in Singapore · Studio · 1 bed · 1 bath,https://www.airbnb.com/rooms/7466596,1 bath,Entire home/apt,,1.0
168,7641522,Bed and breakfast in Singapore · ★4.33 · 1 bedroom · 2 beds · 8 baths,https://www.airbnb.com/rooms/7641522,8 baths,Private room,1.0,2.0
169,7653937,Rental unit in Singapore · 1 bedroom · 1 bed · 3 shared baths,https://www.airbnb.com/rooms/7653937,3 shared baths,Private room,,1.0
170,7666349,Place to stay in Singapore · ★4.43 · 2 bedrooms · 2 beds · 1 bath,https://www.airbnb.com/rooms/7666349,1 bath,Private room,2.0,2.0
171,7667016,Rental unit in Singapore · ★4.50 · 1 bedroom · 1 bed · 3 shared baths,https://www.airbnb.com/rooms/7667016,3 shared baths,Private room,,1.0
172,7720994,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 bath,https://www.airbnb.com/rooms/7720994,1 bath,Entire home/apt,1.0,1.0
173,7765392,Rental unit in Singapore · ★5.0 · 1 bedroom · 1 bed · 1 private bath,https://www.airbnb.com/rooms/7765392,1 private bath,Private room,,1.0
174,7769781,Home in Singapore · ★4.62 · 1 bedroom · 2 beds · 1.5 baths,https://www.airbnb.com/rooms/7769781,1.5 baths,Private room,,2.0
175,7776711,Rental unit in Singapore · 1 bedroom · 1 bed · 3 shared baths,https://www.airbnb.com/rooms/7776711,3 shared baths,Private room,,1.0
176,7905972,Townhouse in Singapore · ★4.25 · 1 bedroom · 2 beds · 1 shared bath,https://www.airbnb.com/rooms/7905972,1 shared bath,Private room,,2.0
177,7927886,Condo in Singapore · ★4.77 · 2 bedrooms · 1 bed · Shared half-bath,https://www.airbnb.com/rooms/7927886,Shared half-bath,Private room,,1.0
